"Run on 04JAN2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Div No.","Division Name","Sch No.","School Name","Low Grade","High Grade","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","EOC English","EOC English","EOC English","EOC English","EOC English","EOC English","EOC English","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Algebra 1 Pass","Algebra 1 Pass","Algebra 1 Proficient","Algebra 1 Advanced","Algebra 1 Pass","Algebra 1 Proficient","Algebra 1 Advanced","Geometry Pass","Geometry Pass","Geometry Proficient","Geometry Advanced","Geometry Pass","Geometry Proficient","Geometry Advanced","Algebra 2 Pass","Algebra 2 Pass","Algebra 2 Proficient","Algebra 2 Advanced","Algebra 2 Pass","Algebra 2 Proficient","Algebra 2 Advanced","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","Civics and","Civics and","Civics and","Civics and","Civics and","Civics and","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","World History","World History","World History","World History","World History","World History","World History","World Geography","World Geography","World Geography","World Geography","World Geography","World Geography","World Geography","World History","World History","World History","World History","World History","World History","World History","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Biology Pass","Biology Pass","Biology Proficient","Biology Advanced","Biology Pass","Biology Proficient","Biology Advanced","Chemistry Pass","Chemistry Pass","Chemistry Proficient","Chemistry Advanced","Chemistry Pass","Chemistry Proficient","Chemistry Advanced"
1,"Accomack County Public Schools",560,"MARY N. SMITH MIDDLE",6,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",52.89,56.49,48.09,8.4,".",".",".",48.76,50.38,47.37,3.01,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",58.82,79.69,68.75,10.94,".",".",".",100,100,61.54,38.46,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",41.67,".",".",".",".",".",".",55.83,45,10.83,".",".",".",37.5,34.38,3.13,".",".",".",84.92,66.67,18.25,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",59.17,83.2,60.8,22.4,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"Accomack County Public Schools",580,"CHINCOTEAGUE HIGH",6,12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",61.02,66.67,44.44,22.22,72.55,54.9,17.65,53.23,78.26,67.39,10.87,67.86,66.07,1.79,92.68,92,92,".",77.42,61.29,16.13,86.49,85.71,82.14,3.57,82.76,58.62,24.14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",72.09,100,40,60,75.68,54.05,21.62,69.7,83.33,77.78,5.56,89.19,62.16,27.03,81.82,72.92,66.67,6.25,77.14,62.86,14.29,".",100,30,70,95,25,70,".",".",".",".",".",".",".",".",".",".",".",".",".",".",80.65,".",".",".",".",".",".",89.8,67.35,22.45,68.75,45.83,22.92,98.04,64.71,33.33,100,46.81,53.19,90,55,35,84.62,61.54,23.08,32.43,71.43,57.14,14.29,62.86,45.71,17.14,52.63,81.25,68.75,12.5,65.63,50,15.63,88.46,53.13,39.06,14.06,48,32,16,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",78.79,90,75,15,82.61,56.52,26.09,66.67,44.44,40.74,3.7,78.13,50,28.13,64.52,55.17,55.17,".",50,39.47,10.53,94.12,71.43,66.67,4.76,52.63,52.63,"."
1,"Accomack County Public Schools",590,"PUNGOTEAGUE ELEMENTARY","PK",5,58.21,66.13,58.06,8.06,76.92,58.46,18.46,71.26,75.29,60,15.29,94.92,74.58,20.34,68.18,78.75,63.75,15,90.91,58.18,32.73,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",82.09,88.89,39.68,49.21,93.06,30.56,62.5,77.32,95.29,65.88,29.41,90,62.86,27.14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",58.21,75.41,54.1,21.31,83.87,48.39,35.48,63.74,85.71,55.56,30.16,91.53,47.46,44.07,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",61.19,85.25,57.38,27.87,90.16,49.18,40.98,61.46,84.62,65.38,19.23,84.48,70.69,13.79,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"Accomack County Public Schools",600,"KEGOTANK ELEMENTARY.","PK",5,46.15,51.35,50,1.35,64.47,59.21,5.26,70.37,73.81,60.71,13.1,71.43,59.74,11.69,41.86,57.83,53.01,4.82,75,57.89,17.11,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",63.44,77.63,44.74,32.89,78.95,35.53,43.42,53.68,73.56,62.07,11.49,64.2,48.15,16.05,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",35.16,64.38,46.58,17.81,87.34,49.37,37.97,73.81,80.26,47.37,32.89,77.38,51.19,26.19,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",48.91,68.42,55.26,13.16,81.01,54.43,26.58,43.62,73.49,65.06,8.43,48.78,46.34,2.44,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"Accomack County Public Schools",701,"ACCAWMACKE ELEM","PK",5,59.15,60.29,44.12,16.18,69.33,58.67,10.67,72.15,78.16,55.17,22.99,81.97,62.3,19.67,75.32,81.71,56.1,25.61,90.2,58.82,31.37,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",83.1,87.18,48.72,38.46,92.31,38.46,53.85,70.24,78.79,63.64,15.15,80.95,49.21,31.75,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",81.82,82.35,33.82,48.53,89.39,40.91,48.48,90.11,94.12,50,44.12,86.57,40.3,46.27,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",67.61,79.1,50.75,28.36,83.33,51.52,31.82,72.09,84.15,67.07,17.07,77.05,67.21,9.84,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"Accomack County Public Schools",702,"METOMPKIN ELEM","PK",5,68.29,71.43,46.43,25,67.9,59.26,8.64,64.29,79.73,54.05,25.68,71.74,53.26,18.48,51.43,78.79,54.55,24.24,84.34,60.24,24.1,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",75,81.36,30.51,50.85,84.88,46.51,38.37,51.39,56.25,43.75,12.5,67.01,48.45,18.56,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",75.61,90.74,25.93,64.81,90.24,43.9,46.34,75,83.56,47.95,35.62,86.67,46.67,40,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",66.67,81.82,49.09,32.73,83.95,55.56,28.4,50,79.45,67.12,12.33,63.95,53.49,10.47,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"Accomack County Public Schools",703,"NANDUA MIDDLE",6,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",64.77,55.68,9.09,".",".",".",".",54.8,53.67,1.13,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",80.11,66.48,13.64,".",".",".",".",100,54.05,45.95,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",33.68,28.5,5.18,".",".",".",72.07,53.07,18.99,".",".",".",79.29,67.46,11.83,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",84.52,64.29,20.24,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"Accomack County Public Schools",704,"ARCADIA MIDDLE",6,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",62.37,54.3,8.06,".",".",".",".",57.47,57.47,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",75.81,72.58,3.23,".",".",".",".",89.47,81.58,7.89,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",52.67,40,12.67,".",".",".",79.53,54.97,24.56,".",".",".",85.63,74.71,10.92,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",82.58,68.54,14.04,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,"Albemarle County Public Schools",0,"DIVISION SUMMARY",,,78.25,77.65,57.14,20.51,81.12,58.83,22.29,87.23,87.44,46.26,41.19,90.63,49.78,40.84,91.55,94.34,50.06,44.28,90.61,50.44,40.17,76.83,76.83,48.3,28.53,84.23,41.33,42.9,80.23,84.34,71.58,12.76,78.68,66.67,12.01,94.77,91.07,56.92,34.15,86.7,51.18,35.51,91.43,91.39,62.43,28.96,89.43,52.27,37.16,85.01,87.43,31.09,56.34,87.66,27.52,60.14,78.42,81.32,52.81,28.51,82.26,54.38,27.88,80.24,84.04,50.1,33.94,82,54.42,27.59,84.28,89.17,63.58,25.59,87.31,55.55,31.77,88.21,85.92,58.66,27.26,91.05,59,32.05,78.76,82.75,50.35,32.39,83.73,50.52,33.22,85.29,83.58,34.45,49.13,86.23,32.13,54.09,78.7,88.43,49.61,38.82,84.41,42.09,42.31,85.28,88.348,45.71,42.64,86.351,46.26,40.09,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",72.38,81.83,55.08,26.75,86.35,57.97,28.38,89.35,83.76,54.24,29.52,80.57,50.81,29.76,50,56.25,47.5,8.75,100,100,".",89.95,85.66,63.19,22.46,90.28,58.89,31.4,86.93,87.9,40.21,47.7,90.82,42.18,48.64,85.05,89.2,56.89,32.3,85.1,60.8,24.3,89.81,90.24,50.21,40.03,89.41,47.87,41.54,81.49,73.16,58.69,14.48,76.17,61.74,14.43,90.51,88.7,73.18,15.52,88.65,64.42,24.23,93,90.82,75.85,14.97,90.13,59.22,30.91
2,"Albemarle County Public Schools",10,"HOLLYMEAD ELEM.","PK",5,80,75.58,55.81,19.77,87.32,54.93,32.39,92.65,89.25,48.39,40.86,92.5,50,42.5,100,98.89,48.89,50,93.42,42.11,51.32,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",95.38,91.95,28.74,63.22,91.67,18.06,73.61,91.04,70.97,38.71,32.26,92.59,56.79,35.8,".",".",".",".",".",".",".",".",".",".",".",100,".",100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",89.39,89.53,41.86,47.67,92.86,35.71,57.14,87.88,84.78,53.26,31.52,84,40,44,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",90.91,94.19,44.19,50,97.14,35.71,61.43,90.91,93.48,59.78,33.7,89.74,61.54,28.21,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,"Albemarle County Public Schools",20,"LESLIE H. WALTON MIDDLE",6,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",74.5,68.29,46.34,21.95,80,44.39,35.61,71.92,75.36,67.3,8.06,66.83,62.44,4.39,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",80,77.25,46.92,30.33,76.43,72.86,3.57,100,100,35.09,64.91,100,43.24,56.76,100,100,30.43,69.57,100,10.53,89.47,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",66.67,74.074,63.89,10.19,90,58.57,31.43,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",95.96,89.22,46.08,43.14,87.31,57.46,29.85,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,"Albemarle County Public Schools",30,"SCOTTSVILLE ELEM.","PK",5,77.78,72.97,59.46,13.51,75.86,44.83,31.03,87.88,77.42,38.71,38.71,88.46,53.85,34.62,80,90.32,58.06,32.26,85.19,66.67,18.52,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",85.19,78.95,36.84,42.11,86.21,48.28,37.93,78.79,74.19,51.61,22.58,88.46,76.92,11.54,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",74.07,81.58,28.95,52.63,79.31,34.48,44.83,72.73,87.1,51.61,35.48,72,64,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",84.62,78.95,44.74,34.21,86.21,44.83,41.38,81.82,87.1,64.52,22.58,88.46,69.23,19.23,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,"Albemarle County Public Schools",40,"MARY CARR GREER ELEM.","PK",5,62.71,57.81,45.31,12.5,64.71,50.98,13.73,89.09,83.64,49.09,34.55,88.68,41.51,47.17,95.65,90.57,54.72,35.85,86.27,52.94,33.33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",76.67,68.12,26.09,42.03,78.69,27.87,50.82,72.73,74.14,41.38,32.76,78.57,48.21,30.36,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",80.7,70.31,32.81,37.5,71.11,24.44,46.67,92.31,85.71,44.64,41.07,73.58,35.85,37.74,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",81.36,76.56,42.19,34.38,84.44,55.56,28.89,88.46,78.57,46.43,32.14,73.58,52.83,20.75,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,"Albemarle County Public Schools",69,"JACKSON P. BURLEY MIDDLE",6,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",78.91,80.31,50.39,29.92,83.82,47.79,36.03,84.62,85.83,71.65,14.17,78.68,63.97,14.71,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",84.25,87.4,48.03,39.37,77.32,67.01,10.31,100,100,34.48,65.52,100,35.19,64.81,100,100,".",100,100,".",100,100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",83.46,90.4,44,46.4,82.963,51.85,31.11,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",85.04,89.6,48.8,40.8,84.44,46.67,37.78,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,"Albemarle County Public Schools",100,"BROADUS WOOD ELEM.","PK",5,86.54,83.05,64.41,18.64,76.19,47.62,28.57,88.46,98.11,35.85,62.26,98.11,49.06,49.06,92.31,100,39.62,60.38,92.59,59.26,33.33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",90.38,91.53,27.12,64.41,78.57,33.33,45.24,82.05,94.34,49.06,45.28,86.79,67.92,18.87,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",88.46,78.33,46.67,31.67,66.67,26.19,40.48,71.79,90.57,62.26,28.3,86.79,58.49,28.3,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",90.38,93.33,36.67,56.67,80.49,43.9,36.59,87.18,98.11,56.6,41.51,94.34,66.04,28.3,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,"Albemarle County Public Schools",140,"WESTERN ALBEMARLE HIGH",9,12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",12.5,".",".",".",".",".",".",".",".",".",".",".",".",".",96.39,93.22,48.73,44.49,92.5,48.75,43.75,95.18,93.7,55.46,38.24,94.14,41.84,52.3,".",".",".",".",".",".",".",".",".",".",".",".",".",".",12.5,".",".",".",".",".",".",78.38,79.58,70.42,9.15,83.85,72.67,11.18,94.15,89.96,63.32,26.64,92.61,65.02,27.59,88.28,95.34,53.39,41.95,98.75,50,48.75,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",79.58,88.76,72.47,16.29,90.64,66.08,24.56,93.98,90.81,62.87,27.94,84.8,56.08,28.72,".",".",".",".",".",".",".",91.48,90.91,62.77,28.14,90.91,66.99,23.92,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",85.29,79.9,61.86,18.04,76.33,60.39,15.94,90.31,91.3,73.91,17.39,91.73,65.11,26.62,93.84,92.86,78.57,14.29,98.25,70.76,27.49
2,"Albemarle County Public Schools",150,"PAUL H. CALE ELEM.","PK",5,79.31,79.1,68.66,10.45,78.08,68.49,9.59,82.19,86.57,55.22,31.34,88.24,48.24,40,92.06,93.22,54.24,38.98,90.48,59.52,30.95,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",75.56,80.56,44.44,36.11,78.21,34.62,43.59,77.78,87.14,58.57,28.57,84.44,51.11,33.33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",80.46,84.06,42.03,42.03,75.34,31.51,43.84,74.29,89.55,41.79,47.76,88.51,48.28,40.23,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",85.06,85.51,46.38,39.13,82.19,45.21,36.99,78.87,85.29,66.18,19.12,86.21,64.37,21.84,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,"Albemarle County Public Schools",160,"AGNOR-HURT ELEM.","PK",5,76.92,77.19,61.4,15.79,75.81,56.45,19.35,77.14,85.37,43.9,41.46,85.96,49.12,36.84,88.06,92.86,51.19,41.67,85.96,50.88,35.09,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",83.08,90.48,33.33,57.14,87.88,24.24,63.64,74.65,71.91,50.56,21.35,76.27,49.15,27.12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",76.92,87.93,24.14,63.79,84.38,32.81,51.56,82.61,89.41,48.24,41.18,73.68,42.11,31.58,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",87.69,94.83,43.1,51.72,89.06,46.88,42.19,75.71,81.4,50,31.4,72.41,60.34,12.07,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,"Albemarle County Public Schools",240,"STONY POINT ELEM.","PK",5,86.11,73.53,58.82,14.71,90,70,20,94.12,93.94,39.39,54.55,100,34.38,65.63,94.12,100,55.17,44.83,100,36.67,63.33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",91.67,85.29,32.35,52.94,96.67,16.67,80,88.24,96.97,39.39,57.58,96.88,50,46.88,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",88.89,87.88,48.48,39.39,96.55,37.93,58.62,90.91,96.55,58.62,37.93,93.55,35.48,58.06,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",88.89,78.79,33.33,45.45,100,51.72,48.28,93.94,96.88,50,46.88,96.77,58.06,38.71,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,"Albemarle County Public Schools",250,"MERIWETHER LEWIS ELEM.","PK",5,92.75,91.03,57.69,33.33,86.57,56.72,29.85,94.52,93.33,58.67,34.67,94.12,42.65,51.47,94.52,98.67,44,54.67,95.59,51.47,44.12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",92.75,96.2,16.46,79.75,92.54,20.9,71.64,90.41,89.47,67.11,22.37,82.35,60.29,22.06,".",".",".",".",".",".",".",100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",95.59,97.47,11.39,86.08,95.45,13.64,81.82,81.94,88.16,63.16,25,86.57,47.76,38.81,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",94.2,98.73,37.97,60.76,96.97,25.76,71.21,91.67,92.11,64.47,27.63,88.24,72.06,16.18,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,"Albemarle County Public Schools",340,"CROZET ELEM.","PK",5,78.87,77.78,53.97,23.81,78.18,50.91,27.27,88.71,82.54,44.44,38.1,88.31,46.75,41.56,96.43,98.21,53.57,44.64,87.84,51.35,36.49,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",84.51,91.94,33.87,58.06,85.71,25,60.71,90.16,88.89,58.73,30.16,73.08,57.69,15.38,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",98.39,73.33,28.33,45,94.34,33.96,60.38,84,89.47,49.12,40.35,81.94,38.89,43.06,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",92.86,82.26,30.65,51.61,94.34,47.17,47.17,88.52,94.74,64.91,29.82,87.84,56.76,31.08,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
